anucl;atom;AMBER;CHARMM;my_own;VDW R AMBER;VDW DEPTH AMBER;VDW R Charmm;VDW DEPTH Charmm;my_own
GPN;H8;0.1997;;;1.359;0.015;1.1;-0.046;
GPN;N1;-0.5053;;;1.824;0.17;1.85;-0.2;
GPN;N2;-0.923;;;1.824;0.17;1.85;-0.2;
GPN;N3;-0.6636;;;1.824;0.17;1.85;-0.2;
GPN;N7;-0.5725;;;1.824;0.17;1.85;-0.2;
GPN;N9;0.0577;;;1.824;0.17;1.85;-0.2;
GPN;O6;-0.5699;;;0;0;0;0;
CPN;C2;0.7959;;;1.908;0.086;1.9;-0.1;
CPN;C4;0.8439;;;1.908;0.086;1.9;-0.1;
CPN;C5;-0.5222;;;1.908;0.086;1.9;-0.09;
CPN;C6;-0.0183;;;1.908;0.086;1.9;-0.09;
CPN;H41;0.4314;;;0.6;0.0157;0.2245;-0.046;
CPN;H42;0.4314;;;0.6;0.0157;0.2245;-0.046;
CPN;H5;0.1863;;;1.459;0.015;1.1;-0.046;
CPN;H6;0.2293;;;1.409;0.015;1.1;-0.046;
CPN;N1;-0.0339;;;1.824;0.17;1.85;-0.2;
CPN;N3;-0.7748;;;1.824;0.17;1.85;-0.2;
CPN;N4;-0.9773;;;1.824;0.17;1.85;-0.2;
CPN;O2;-0.6548;;;1.6612;0.21;1.7;-0.12;
TPN;C2;0.5677;;;1.908;0.086;1.9;-0.09;
TPN;C4;0.5194;;;1.908;0.086;1.9;-0.1;
TPN;C5;0.0025;;;1.908;0.086;1.9;-0.09;
TPN;C6;-0.2209;;;1.908;0.086;1.9;-0.09;
TPN;C7;-0.2269;;;1.908;0.1094;;;
TPN;H71;0.077;;;1.487;0.0157;;;
TPN;H72;0.077;;;1.487;0.0157;;;
TPN;H73;0.077;;;1.487;0.0157;;;
TPN;H3;0.342;;;0.6;0.0157;0.2245;-0.046;
TPN;H6;0.2607;;;1.409;0.015;1.1;-0.046;
TPN;N1;-0.0239;;;1.824;0.17;1.85;-0.2;
TPN;N3;-0.434;;;1.824;0.17;1.85;-0.2;
TPN;O2;-0.5881;;;1.6612;0.21;1.7;-0.12;
TPN;O4;-0.5563;;;1.6612;0.21;1.7;-0.12;
